concurrency,latency_us
2500,70425
2500,71181
2500,70365
2500,71981
2500,104391
2500,105578
2500,103623
2500,103528
2500,133472
2500,130823
2500,156306
2500,157557
2500,212147
2500,212484
2500,214073
2500,214403
2500,214281
2500,202762
2500,202548
2500,209301
2500,213438
2500,173086
2500,173453
2500,215325
2500,208667
2500,212001
2500,215618
2500,204123
2500,212225
2500,204183
2500,239910
2500,248640
2500,241313
2500,273156
2500,271327
2500,274347
2500,271268
2500,273235
2500,264367
2500,271391
2500,263216
2500,273446
2500,274869
2500,269720
2500,263614
2500,270701
2500,265012
2500,259899
2500,285593
2500,287118
2500,261241
2500,286565
2500,290976
2500,290169
2500,292639
2500,262275
2500,270464
2500,264067
2500,270665
2500,273904
2500,274881
2500,300264
2500,265093
2500,301176
2500,308336
2500,311146
2500,309443
2500,302211
2500,312214
2500,302656
2500,302720
2500,278172
2500,278260
2500,278369
2500,271199
2500,312829
2500,303603
2500,286530
2500,307976
2500,277764
2500,308312
2500,330608
2500,331180
2500,331080
2500,330494
2500,298294
2500,335908
2500,347546
2500,353996
2500,347068
2500,355751
2500,348662
2500,357162
2500,321832
2500,322232
2500,324299
2500,319064
2500,319060
2500,348606
2500,324376
2500,322039
2500,318356
2500,324217
2500,329954
2500,321632
2500,323485
2500,255020
2500,322500
2500,328293
2500,323800
2500,325774
2500,322439
2500,325909
2500,322525
2500,324924
2500,324874
2500,324422
2500,359290
2500,334282
2500,353016
2500,323408
2500,354925
2500,354460
2500,330732
2500,331750
2500,323397
2500,326760
2500,329842
2500,324073
2500,326781
2500,325951
2500,327179
2500,364762
2500,362432
2500,325877
2500,330195
2500,324312
2500,329563
2500,356832
2500,325725
2500,325424
2500,325488
2500,330652
2500,325678
2500,332629
2500,331420
2500,339622
2500,339552
2500,331784
2500,359314
2500,358850
2500,360020
2500,359874
2500,358226
2500,330227
2500,331675
2500,330014
2500,332858
2500,330274
2500,328158
2500,337012
2500,333948
2500,338760
2500,340158
2500,339214
2500,371640
2500,335545
2500,364808
2500,334274
2500,334696
2500,334465
2500,344836
2500,340276
2500,341379
2500,337194
2500,366943
2500,338858
2500,342440
2500,337487
2500,341148
2500,336015
2500,334709
2500,386270
2500,368503
2500,430129
2500,428781
2500,397757
2500,429232
2500,429580
2500,421538
2500,430697
2500,428245
2500,431580
2500,423306
2500,422901
2500,402795
2500,426202
2500,392210
2500,397215
2500,402156
2500,395821
2500,428901
2500,405632
2500,401373
2500,399162
2500,410285
2500,417784
2500,431375
2500,421065
2500,431690
2500,431321
2500,421219
2500,417886
2500,399846
2500,434184
2500,403108
2500,412983
2500,418667
2500,427851
2500,411496
2500,405123
2500,395885
2500,404558
2500,410734
2500,428121
2500,430321
2500,428409
2500,428748
2500,403654
2500,400934
2500,404220
2500,426407
2500,405096
2500,406074
2500,409112
2500,427346
2500,398879
2500,396504
2500,408999
2500,406794
2500,409639
2500,399037
2500,404561
2500,397763
2500,436962
2500,405722
2500,428786
2500,411897
2500,397521
2500,409911
2500,397586
2500,429777
2500,436089
2500,436178
2500,440148
2500,440325
2500,437801
2500,440661
2500,440081
2500,440848
2500,440302
2500,420156
2500,90475
2500,448008
2500,462261
2500,434212
2500,466132
2500,466087
2500,435763
2500,467166
2500,465509
2500,464263
2500,467910
2500,467181
2500,436098
2500,101395
2500,101286
2500,102720
2500,467204
2500,441236
2500,439218
2500,466788
2500,472677
2500,443153
2500,468676
2500,468988
2500,438611
2500,371331
2500,262740
2500,101614
2500,372426
2500,444506
2500,236711
2500,478157
2500,438531
2500,471582
2500,442187
2500,444777
2500,448033
2500,442399
2500,262800
2500,444352
2500,102328
2500,371769
2500,438789
2500,439304
2500,102115
2500,471375
2500,472222
2500,448335
2500,263601
2500,103683
2500,264764
2500,105834
2500,104305
2500,105890
2500,105598
2500,264826
2500,105415
2500,468387
2500,501627
2500,475213
2500,133724
2500,468795
2500,473226
2500,502394
2500,259082
2500,476522
2500,501749
2500,504251
2500,506317
2500,194593
2500,507783
2500,509317
2500,508070
2500,509896
2500,475807
2500,508640
2500,498929
2500,499192
2500,506483
2500,500611
2500,523261
2500,523101
2500,523934
2500,514600
2500,524148
2500,523585
2500,515353
2500,489908
2500,514649
2500,490585
2500,522191
2500,497289
2500,521423
2500,500606
2500,522756
2500,496515
2500,496988
2500,506226
2500,514290
2500,508651
2500,514440
2500,530718
2500,521900
2500,499811
2500,496733
2500,530442
2500,538768
2500,539755
2500,539938
2500,530425
2500,530874
2500,540808
2500,518663
2500,531505
2500,534174
2500,503419
2500,512687
2500,534651
2500,531889
2500,505323
2500,535365
2500,512901
2500,513145
2500,506572
2500,507957
2500,513809
2500,508327
2500,514668
2500,539038
2500,538879
2500,186025
2500,187004
2500,230879
2500,187394
2500,538267
2500,540765
2500,531779
2500,516160
2500,539188
2500,520755
2500,510924
2500,543673
2500,190538
2500,546659
2500,191520
2500,193774
2500,190558
2500,541322
2500,550713
2500,191511
2500,190761
2500,550916
2500,549808
2500,191071
2500,548273
2500,192106
2500,193625
2500,193567
2500,530355
2500,194546
2500,194415
2500,543808
2500,544334
2500,544289
2500,521541
2500,195364
2500,515914
2500,195684
2500,195381
2500,516583
2500,197485
2500,513483
2500,546949
2500,547507
2500,546249
2500,198133
2500,546270
2500,545473
2500,535808
2500,550014
2500,536505
2500,524296
2500,520607
2500,529453
2500,529629
2500,520592
2500,523788
2500,519561
2500,526467
2500,521710
2500,526441
2500,550204
2500,560707
2500,553880
2500,552249
2500,524315
2500,551307
2500,521190
2500,551401
2500,312420
2500,553005
2500,555795
2500,555887
2500,524686
2500,553679
2500,520408
2500,572521
2500,550114
2500,573575
2500,573987
2500,543587
2500,576573
2500,575406
2500,554182
2500,572181
2500,221064
2500,568936
2500,598347
2500,630883
2500,599424
2500,629864
2500,605796
2500,640370
2500,634054
2500,642782
2500,633956
2500,642037
2500,643383
2500,640573
2500,616302
2500,630335
2500,610811
2500,606839
2500,614342
2500,610944
2500,632099
2500,637887
2500,608479
2500,613543
2500,639843
2500,632715
2500,640333
2500,624961
2500,615134
2500,631912
2500,608182
2500,633499
2500,642205
2500,632286
2500,616188
2500,615740
2500,631722
2500,620039
2500,619593
2500,615308
2500,619820
2500,641900
2500,609729
2500,625224
2500,633274
2500,610137
2500,608540
2500,633190
2500,626256
2500,610472
2500,613984
2500,613619
2500,610655
2500,616810
2500,610938
2500,627429
2500,610145
2500,617686
2500,611125
2500,611213
2500,634990
2500,641492
2500,635009
2500,610928
2500,635815
2500,616088
2500,637382
2500,638156
2500,617767
2500,638257
2500,610640
2500,614117
2500,618338
2500,636984
2500,639000
2500,636880
2500,291759
2500,639079
2500,618738
2500,650809
2500,639079
2500,639363
2500,614916
2500,615264
2500,639643
2500,615642
2500,616211
2500,612588
2500,625827
2500,638356
2500,651657
2500,625828
2500,621725
2500,626137
2500,616296
2500,618029
2500,623825
2500,616490
2500,640829
2500,641995
2500,618590
2500,621636
2500,641684
2500,620856
2500,616751
2500,627153
2500,617039
2500,623631
2500,202711
2500,617059
2500,627700
2500,619890
2500,627620
2500,624495
2500,619330
2500,641994
2500,623151
2500,620079
2500,620988
2500,620964
2500,626872
2500,623602
2500,620639
2500,644191
2500,629616
2500,615980
2500,658421
2500,657419
2500,622566
2500,655533
2500,659241
2500,627577
2500,625238
2500,618682
2500,619221
2500,659285
2500,653620
2500,630920
2500,624020
2500,624119
2500,630747
2500,662215
2500,654398
2500,624181
2500,624204
2500,652390
2500,657032
2500,624206
2500,623812
2500,623765
2500,625421
2500,625141
2500,625273
2500,631020
2500,629805
2500,625371
2500,630577
2500,633994
2500,657006
2500,646999
2500,674142
2500,647649
2500,674709
2500,648261
2500,648219
2500,659372
2500,650588
2500,643386
2500,652569
