concurrency,latency_us
2500,3762
2500,4935
2500,10885
2500,15121
2500,10777
2500,9399
2500,7594
2500,5429
2500,10214
2500,10563
2500,4613
2500,4028
2500,9906
2500,4594
2500,9977
2500,4007
2500,5564
2500,9973
2500,2036
2500,5242
2500,9823
2500,10018
2500,10039
2500,1949
2500,9890
2500,10811
2500,2155
2500,11487
2500,9036
2500,9996
2500,9081
2500,10094
2500,9803
2500,10288
2500,1895
2500,9527
2500,11894
2500,10024
2500,10739
2500,9108
2500,11123
2500,10049
2500,10267
2500,2074
2500,9566
2500,10854
2500,11166
2500,10091
2500,10428
2500,9190
2500,9357
2500,15129
2500,2253
2500,9738
2500,9549
2500,9608
2500,1990
2500,10111
2500,9191
2500,1564
2500,1563
2500,5462
2500,2874
2500,5622
2500,8880
2500,5911
2500,4776
2500,1908
2500,3487
2500,10917
2500,5228
2500,10152
2500,5598
2500,8942
2500,3656
2500,10044
2500,4063
2500,10446
2500,3122
2500,4962
2500,11014
2500,982
2500,988
2500,11004
2500,3157
2500,2985
2500,8989
2500,5661
2500,1641
2500,10340
2500,3958
2500,3216
2500,9712
2500,6085
2500,6752
2500,10123
2500,5466
2500,5697
2500,10950
2500,6126
2500,3000
2500,10528
2500,5411
2500,3929
2500,11062
2500,3891
2500,2789
2500,3244
2500,6755
2500,9458
2500,3661
2500,4181
2500,10619
2500,1770
2500,3301
2500,3009
2500,4918
2500,3873
2500,6990
2500,4928
2500,3204
2500,6361
2500,4796
2500,6490
2500,1808
2500,3415
2500,1269
2500,6585
2500,2540
2500,2783
2500,6909
2500,6020
2500,7554
2500,3513
2500,2824
2500,3979
2500,6100
2500,3812
2500,6622
2500,7285
2500,2809
2500,6162
2500,3128
2500,3777
2500,6402
2500,6050
2500,2624
2500,2743
2500,7567
2500,5712
2500,6012
2500,7578
2500,2723
2500,5064
2500,7699
2500,1535
2500,6126
2500,9142
2500,6414
2500,8602
2500,1173
2500,8612
2500,5603
2500,1658
2500,3647
2500,8849
2500,6420
2500,9216
2500,3828
2500,5853
2500,3818
2500,8911
2500,2036
2500,1680
2500,4062
2500,2018
2500,3746
2500,9855
2500,1788
2500,8990
2500,3980
2500,1957
2500,10097
2500,8216
2500,1961
2500,9236
2500,2204
2500,8688
2500,9300
2500,1890
2500,7740
2500,8246
2500,2094
2500,9605
2500,9322
2500,2095
2500,9058
2500,8430
2500,2032
2500,9518
2500,8344
2500,9025
2500,2070
2500,8579
2500,8025
2500,2327
2500,8001
2500,8156
2500,8710
2500,9357
2500,10179
2500,8043
2500,7936
2500,6652
2500,2253
2500,10502
2500,7794
2500,9314
2500,8237
2500,9470
2500,8803
2500,3408
2500,3566
2500,10302
2500,8485
2500,8484
2500,9388
2500,8654
2500,9488
2500,9687
2500,10758
2500,9095
2500,9169
2500,8200
2500,9127
2500,9876
2500,8863
2500,8487
2500,8515
2500,9712
2500,9919
2500,2418
2500,8015
2500,9673
2500,6847
2500,2437
2500,8945
2500,8131
2500,10825
2500,2737
2500,5837
2500,7915
2500,9982
2500,10853
2500,7944
2500,9456
2500,7924
2500,7814
2500,2602
2500,6898
2500,8049
2500,8245
2500,5920
2500,3012
2500,8414
2500,10681
2500,8610
2500,3332
2500,9138
2500,8621
2500,9431
2500,2747
2500,6307
2500,5999
2500,9435
2500,10150
2500,10244
2500,8000
2500,6936
2500,3511
2500,6957
2500,6472
2500,8285
2500,7202
2500,7388
2500,7916
2500,10169
2500,8297
2500,8235
2500,9731
2500,9435
2500,10855
2500,10207
2500,8247
2500,8451
2500,10183
2500,8177
2500,6086
2500,8924
2500,10249
2500,3002
2500,8701
2500,8649
2500,9717
2500,9374
2500,10933
2500,3414
2500,7062
2500,10245
2500,8105
2500,7946
2500,8399
2500,10200
2500,3140
2500,7778
2500,10216
2500,9342
2500,8187
2500,10372
2500,3503
2500,7480
2500,10363
2500,4006
2500,10235
2500,3545
2500,8009
2500,8942
2500,10243
2500,8408
2500,3555
2500,10261
2500,8387
2500,7722
2500,8093
2500,9990
2500,8418
2500,3879
2500,8566
2500,9511
2500,7156
2500,10426
2500,3336
2500,9960
2500,9303
2500,7946
2500,3562
2500,547
2500,8101
2500,7877
2500,1228
2500,3737
2500,8456
2500,1197
2500,7990
2500,6305
2500,8554
2500,481
2500,8888
2500,8559
2500,7986
2500,1114
2500,7992
2500,6512
2500,6426
2500,4697
2500,985
