concurrency,latency_us
500,2341
500,1312
500,2394
500,1265
500,1420
500,1419
500,1641
500,9011
500,3205
500,1616
500,1814
500,9632
500,9855
500,6944
500,7573
500,7506
500,8406
500,8469
500,2969
500,5001
500,3761
500,11891
500,5487
500,5725
500,5131
500,9302
500,9266
500,6226
500,1994
500,6894
500,4397
500,5755
500,6716
500,2730
500,5410
500,6444
500,3291
500,4620
500,4809
500,2984
500,3283
500,2349
500,2512
500,1883
500,2410
500,9017
500,1762
500,3052
500,1116
500,2474
500,3488
500,11852
500,7894
500,1785
500,7080
500,4508
500,5596
500,2423
500,1402
500,1862
500,1805
500,2756
500,4225
500,3059
500,7484
500,2608
500,7307
500,3779
500,1392
500,5536
500,5834
500,6058
500,4831
500,1286
500,1417
500,4376
500,1170
500,1729
500,1443
500,1356
500,1325
500,1266
500,1128
500,1102
500,12348
500,1977
500,1765
500,3661
500,11179
500,11128
500,14712
500,12464
500,9851
500,6190
500,9178
500,3804
500,8601
500,2137
500,1109
500,1118
500,1052
500,7965
500,7334
500,7603
500,3565
500,4799
500,6462
500,7940
500,8717
500,8055
500,8666
500,2536
500,4764
500,12158
500,2686
500,1942
500,2294
500,6082
500,2951
500,14287
500,7642
500,8815
500,3528
500,5531
500,1059
500,1630
500,3117
500,2008
500,9165
500,10162
500,2622
500,12290
500,7229
500,7167
500,8219
500,3575
500,4545
500,6427
500,2297
500,7053
500,8755
500,3284
500,4424
500,11821
500,6389
500,12932
500,9298
500,6730
500,1500
500,8240
500,6595
500,1405
500,3098
500,1157
500,1905
500,1745
500,7028
500,1401
500,1259
500,1035
500,1238
500,1098
500,1273
500,12912
500,10801
500,15199
500,11692
500,12926
500,12857
500,3970
500,2378
500,3811
500,6514
500,3176
500,3785
500,3390
500,5338
500,3700
500,5611
500,7006
500,7332
500,1470
500,1180
500,1411
500,6679
500,1433
500,1364
500,1272
500,1300
500,3055
500,1909
500,1199
500,6466
500,1295
500,5054
500,3874
500,6441
500,1935
500,2145
500,6303
500,2570
500,4961
500,1738
500,6088
500,3754
500,3332
500,8020
500,3742
500,2389
500,3872
500,28907
500,1771
500,4693
500,3593
500,3623
500,1611
500,1754
500,2047
500,7214
500,28696
500,1629
500,38102
500,1482
500,3132
500,1793
500,2952
500,7118
500,10380
500,8296
500,4442
500,13320
500,3460
500,6198
500,7945
500,5026
500,4767
500,41203
500,49676
500,3634
500,1915
500,10045
500,3999
500,3225
500,11607
500,1544
500,2884
500,11689
500,10224
500,2453
500,4944
500,5317
500,9470
500,2717
500,12787
500,12879
500,59140
500,1222
500,44630
500,58037
500,43681
500,4884
500,22178
500,2003
500,23777
500,2096
500,32011
500,24658
500,6944
500,6216
500,6775
500,2970
500,52005
500,53291
500,34170
500,34108
500,9808
500,4091
500,7606
500,5723
500,1288
500,21450
500,22830
500,25467
500,20983
500,3635
500,70574
500,67205
500,10589
500,3259
500,57791
500,11032
500,52583
500,8622
500,42103
500,43716
500,55436
500,12727
500,48770
500,56584
500,59715
500,58188
500,65230
500,39910
500,61349
500,33209
500,12515
500,6579
500,10508
500,29949
500,5051
500,4634
500,4789
500,4750
500,8347
500,7522
500,3455
500,2221
500,3361
500,18856
500,15268
500,41740
500,30133
500,28680
500,14151
500,9055
500,3039
500,22076
500,37491
500,23213
500,32729
500,32564
500,34040
500,40240
500,20282
500,22423
500,26839
500,3575
500,31582
500,36606
500,19348
500,20375
500,19245
500,11502
500,24895
500,4000
500,42016
500,48771
500,5883
500,37450
500,26512
500,11584
500,9508
500,10751
500,8676
500,19620
500,4393
500,6121
500,8175
500,1670
500,1348
500,14388
500,1986
500,22282
500,28540
500,29345
500,33887
500,28323
500,4753
500,15687
500,20815
500,29190
500,6529
500,12212
500,17792
500,12680
500,7460
500,30094
500,6469
500,31921
500,9731
500,9898
500,23083
500,9570
500,37072
500,4575
500,36050
500,28171
500,34276
500,19542
500,20459
500,25459
500,26610
500,28873
500,30328
500,26387
500,9400
500,20399
500,23515
500,13124
500,28216
500,20952
500,9947
500,19225
500,22499
500,10570
500,8547
500,15025
500,42914
500,14205
500,39329
500,21674
500,13570
500,17814
500,33974
500,5972
500,4870
500,12470
500,17854
500,18958
500,10558
500,9447
500,10125
500,4963
500,17409
500,12406
500,11194
500,6089
500,9944
500,5069
500,10151
500,7812
500,5176
500,46652
500,4345
500,48382
500,56300
500,48660
500,1471
500,1565
500,39712
500,38140
500,29368
500,26471
500,22830
500,49274
500,1625
500,21628
500,51215
500,61190
500,56166
500,42028
500,39512
500,43464
500,22796
500,18796
500,55124
500,23925
500,41143
500,57872
500,18621
500,29867
500,8218
500,38946
500,37044
500,52748
500,51194
500,57650
500,23659
500,48706
500,62343
500,37527
500,28179
500,34324
500,30769
500,52018
500,62088
500,8441
500,39049
500,8403
500,36576
500,51577
500,8325
500,8756
500,5150
500,2792
500,6544
500,8628
500,8669
500,42990
500,52120
500,34410
500,35587
500,7515
500,9653
500,23091
500,10652
500,24203
500,20142
500,24419
500,22153
500,12330
500,21976
500,10520
