concurrency,latency_us
200,1253
200,1217
200,1115
200,2302
200,1522
200,1896
200,1360
200,1832
200,8104
200,6925
200,4411
200,8233
200,9510
200,3609
200,6796
200,6815
200,5686
200,2944
200,3661
200,6839
200,5998
200,4593
200,10381
200,3314
200,965
200,1268
200,2797
200,13066
200,12079
200,10950
200,4804
200,5150
200,3771
200,3928
200,3974
200,15208
200,9963
200,1210
200,7922
200,12190
200,9613
200,14123
200,12464
200,17036
200,6171
200,1633
200,12573
200,1177
200,2118
200,12027
200,11820
200,17184
200,6751
200,11380
200,11740
200,13979
200,16777
200,13115
200,14379
200,3625
200,18099
200,8638
200,6407
200,12807
200,10220
200,16938
200,20524
200,20634
200,12368
200,13515
200,19972
200,12006
200,6446
200,11361
200,16491
200,6882
200,9600
200,2962
200,23882
200,15858
200,12506
200,10568
200,11668
200,12015
200,22307
200,2842
200,15935
200,11602
200,11249
200,2795
200,4032
200,23862
200,21719
200,2544
200,12263
200,19171
200,13095
200,6941
200,24492
200,23301
200,4738
200,20082
200,17014
200,19813
200,14240
200,15618
200,18294
200,20803
200,29861
200,32457
200,7300
200,27612
200,9090
200,15824
200,13617
200,7454
200,2535
200,18215
200,1861
200,22838
200,11692
200,11949
200,2099
200,2577
200,23064
200,19675
200,34490
200,21615
200,1773
200,11970
200,15018
200,1190
200,1341
200,27729
200,12477
200,19045
200,23182
200,21959
200,11861
200,1841
200,21196
200,26719
200,26830
200,41135
200,25646
200,20982
200,14703
200,17058
200,16487
200,19085
200,19165
200,15763
200,26007
200,38145
200,13919
200,14140
200,11177
200,14549
200,8596
200,25314
200,4408
200,15250
200,13945
200,15453
200,8484
200,18401
200,9770
200,19704
200,18378
200,17541
200,21055
200,16788
200,32444
200,34177
200,17223
200,14554
200,24796
200,33151
200,24005
200,27133
200,12433
200,27180
200,13182
200,10444
200,11611
200,1582
200,11791
200,11302
200,15503
200,18716
200,12803
200,12749
200,19230
200,13983
200,12771
200,14396
200,11940
200,22735
200,26528
200,25863
200,12350
200,2750
200,13683
200,10004
200,10374
200,14299
200,38262
200,28174
200,11709
200,11480
200,9923
200,4374
200,11068
200,7996
200,13850
200,15767
200,12281
200,13488
200,13453
200,48694
200,13525
200,6745
200,47686
200,33487
200,10855
200,16986
200,45798
200,17005
200,46502
200,10588
200,9425
200,9940
200,7525
200,16771
200,17078
200,8873
200,14148
200,11815
200,13005
200,15066
200,20624
200,11251
200,20632
200,43937
200,33852
200,13616
200,59063
200,64323
200,47432
200,32188
200,44284
200,37722
200,26232
200,27776
200,33403
200,33934
200,23533
200,31508
200,22423
200,42835
200,20026
200,22473
200,46235
200,35450
200,37069
200,7723
200,7873
200,10148
200,11830
200,26072
200,10611
200,7072
200,9486
200,2781
200,7939
200,6725
200,10146
200,23922
200,47926
200,21891
200,23127
200,58919
200,5491
200,45860
200,28870
200,8537
200,31435
200,17089
200,18177
200,10111
200,21268
200,22141
200,46221
200,45382
200,20229
200,19059
200,19170
200,17536
200,24002
200,22836
200,23205
200,5109
200,21818
200,47970
200,21795
200,22993
200,54873
200,38154
200,32691
200,8834
200,5986
200,51345
200,17267
200,14819
200,18893
200,4632
200,5752
200,13002
200,6143
200,5858
200,4724
200,4752
200,19561
200,14948
200,20728
200,13752
200,1618
200,1761
200,2955
200,4113
200,28945
200,4196
200,3394
200,7696
200,21501
200,18964
200,7554
200,1260
200,1306
200,2140
200,2321
200,2250
200,22982
200,6132
200,23995
200,47034
200,48122
200,38543
200,7200
200,7330
200,17065
200,31647
200,38920
200,47602
200,50580
200,47634
200,30780
200,33854
200,31990
200,8560
200,10144
200,10121
200,13371
200,3647
200,11839
200,7626
200,6338
200,4909
200,6426
200,13066
200,13087
200,9966
200,5560
200,3753
200,43955
200,36935
200,18360
200,20588
200,37702
200,38636
200,30917
200,18821
200,30440
200,9924
200,11776
200,23134
200,51138
200,23417
200,11210
200,12845
200,13221
200,22195
200,56731
200,64338
200,56952
200,50132
200,45357
200,57523
200,44590
200,50858
200,45857
200,45082
200,54303
200,40169
200,48073
200,41537
200,22493
200,10553
200,7056
200,17586
200,7765
200,30947
200,41501
200,41555
200,15241
200,61915
200,63872
200,41662
200,29437
200,16237
200,32615
200,30467
200,43791
200,25167
200,52203
200,46286
200,44206
200,46019
200,32072
200,47853
200,35030
200,32769
200,34512
200,32094
200,53912
200,54625
200,27569
200,46638
200,50078
200,58470
200,36361
200,58502
200,8582
200,10789
200,27433
200,27424
200,13803
200,10439
200,21825
200,22997
200,15041
200,11772
200,16427
200,10497
200,21922
200,22657
200,25743
200,2202
200,3404
200,15419
200,31861
200,19009
200,2534
200,13656
200,1569
200,14959
200,32987
200,23088
200,19670
200,18823
200,36370
200,24117
200,33402
200,34586
200,2971
200,26859
200,3202
200,5036
200,23126
200,23228
200,26891
200,5288
200,27512
200,2784
200,2321
200,2462
200,1307
200,5473
200,1277
200,1606
200,1848
200,1095
200,1271
200,5829
200,7207
200,7551
200,5450
200,3303
200,7541
200,6265
200,8492
200,4771
200,1604
200,2948
200,49668
200,3008
200,35656
200,48070
200,49376
200,48172
200,51147
200,3388
200,4152
200,6007
200,7613
200,4858
200,8931
200,39773
200,4537
200,37115
200,37938
200,39334
200,5106
200,28275
200,33115
200,37096
200,38956
200,43909
200,22736
200,38625
200,41740
200,41996
200,17407
200,59092
200,43787
200,45425
200,60392
200,38037
200,46180
200,22888
200,59304
200,44694
200,13438
200,32511
200,45411
200,14571
200,47872
200,15684
200,46344
200,34012
200,36461
200,40283
200,38561
200,17196
200,10057
200,67024
200,34152
200,67244
200,9036
200,12833
200,11690
200,3621
200,48461
200,54942
200,67381
200,51822
200,37385
200,44414
200,25049
200,21452
200,39578
200,10084
200,44890
200,58271
200,58250
200,56937
200,53240
200,24907
200,26823
200,26968
200,25782
200,32414
200,8711
200,12154
200,7992
200,11805
200,1302
200,1323
200,1062
200,1645
200,1029
200,2136
200,14088
200,28086
200,45212
200,20600
200,14900
200,16332
200,30856
200,2504
200,24066
200,2043
200,18904
200,37961
200,55791
200,46914
200,41583
200,36920
200,40604
200,34148
200,29445
200,14329
200,1696
200,11385
200,9738
200,19389
200,37161
200,37117
200,6191
200,6314
200,41853
200,43739
200,14976
200,70068
200,51226
200,57261
200,55157
200,2743
200,33420
200,9712
200,34683
200,9974
200,9118
200,36569
200,29998
200,16773
200,41160
200,42021
200,47105
200,44741
200,62549
200,27821
200,34346
